total_vehicles,density,avg_bbox_area,car,truck,scene_type,filename
2,0.0809,32880.5,1,1,Sparse Traffic,data/dataset/img2.jpeg
24,0.4651,4688.62,24,0,Traffic Jam,data/dataset/22.png
0,0.0,0.0,0,0,Empty,data/dataset/img13.jpg
19,0.6821,81593.42,19,0,Traffic Jam,data/dataset/33.png
1,0.3062,125426.0,0,1,Single Big Object,data/dataset/img15.jpg
0,0.0,0.0,0,0,Empty,data/dataset/img11.jpg
0,0.0,0.0,0,0,Empty,data/dataset/img19.jpg
7,0.8236,107494.14,6,1,Heavy Traffic,data/dataset/img1.jpg
4,0.4551,47012.0,1,3,,data/dataset/img21.jpg
3,0.2581,35244.33,2,1,Sparse Traffic,data/dataset/img4.jpg
0,0.0,0.0,0,0,Empty,data/dataset/img6.jpg
2,0.3403,69685.0,0,2,,data/dataset/img10.jpg
1,0.0149,6110.0,1,0,Sparse Traffic,data/dataset/img8.jpg
0,0.0,0.0,0,0,Empty,data/dataset/img17.jpg
0,0.0,0.0,0,0,Empty,data/dataset/img5.jpg
0,0.0,0.0,0,0,Empty,data/dataset/img12.jpg
0,0.0,0.0,0,0,Empty,data/dataset/img7.jpg
2,0.5258,107676.0,0,2,,data/dataset/img20.jpg
0,0.0,0.0,0,0,Empty,data/dataset/img24.png
0,0.0,0.0,0,0,Empty,data/dataset/img18.jpg
2,0.1741,35746.0,0,2,Sparse Traffic,data/dataset/img3.jpg
4,0.2549,26230.75,2,2,Sparse Traffic,data/dataset/img23.jpg
6,0.442,30780.17,4,2,Heavy Traffic,data/dataset/img22.jpg
9,0.0715,13501.67,9,0,Heavy Traffic,data/dataset/11.png
1,0.5948,243615.0,0,1,Single Big Object,data/dataset/img9.jpg
1,0.0967,39620.0,1,0,Sparse Traffic,data/dataset/img14.jpg
1,0.549,224890.0,0,1,Single Big Object,data/dataset/img16.jpg
